title,name
Apakah Kredivo tersedia di seluruh kota di Indonesia?,Cara Mendaftar
Apa saja syarat pengajuan Kredivo?,Cara Mendaftar
Dokumen apa saja yang diperlukan untuk membuat dan memiliki akun Kredivo?,Cara Mendaftar
Bagaimana cara mengaktivasi akun Kredivo saya?,Cara Aktivasi
Apakah ada batas waktu untuk aktivasi akun Kredivo saya?,Cara Aktivasi
Mengapa saya tidak dapat memasukkan PIN saat aktivasi akun atau muncul keterangan error pada halaman pengaturan PIN?,Cara Aktivasi
Saya ingin belanja secara kredit tanpa kartu kredit. Apakah saya bisa melakukannya dengan Kredivo?,Tipe Akun
"Apa perbedaan akun Starter, Basic dan Premium?",Tipe Akun
Apa itu akun Starter dan fasilitas apa yang didapatkan?,Tipe Akun
Apa itu Kredivo Score?,Skor Kredivo
Bagaimana perhitungan Kredivo Score?,Skor Kredivo
Ada berapa tingkatan di dalam Kredivo Score?,Skor Kredivo
Bagaimana cara pengajuan kenaikan limit Kredivo?,Limit Akun
"Saya sudah mengajukan kenaikan limit untuk akun premium, bagaimana cara saya mengecek statusnya apakah sudah disetujui atau belum?",Limit Akun
Bagaimana cara menghubungkan bukti penghasilan Internet Banking pada saat pengajuan kenaikan limit untuk akun premium?,Limit Akun
Apa saja yang diperlukan untuk upgrade akun Kredivo dan bagaimana caranya?,Upgrade Akun
Apa saja yang diperlukan untuk upgrade akun Kredivo dari akun basic menjadi akun Premium dan bagaimana caranya?,Upgrade Akun
Berapa lama proses persetujuan upgrade akun?,Upgrade Akun
"Saya lupa PIN Kredivo saya, bagaimana cara menggantinya?",PIN
Bagaimana cara mengganti PIN saya?,PIN
"Saya mengalami kendala pergantian PIN di aplikasi dan muncul notifikasi eror, apa yang harus saya lakukan?",PIN
